source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,j_ks_mag,ks_mag_abs
5334156284230504448,294.4011173884052,-0.08676658568762152,174.5993458831584,-61.7427698931229,0.2864178777924826,0.0,-3.18,1.44,,,0.14,0.16
5254014908928579712,288.4972792259611,-2.481433919056573,161.12196013685372,-61.74233662115373,1.129168554069254,0.04,-0.84,0.28,,3.7374077,0.15,0.08
5864173905950288128,308.34592795005267,-1.6719104448478572,205.2921615620915,-64.01966725460846,1.2958253814734708,0.02,-0.6,0.48,,3.6742156,0.2,0.16
5846462938225385344,311.1284352605844,-7.996555609235069,216.46116729975682,-69.35206449310728,1.0914514013078214,0.1,-0.68,0.6,,3.3468003,0.2,0.28
5337634692356150656,290.9206197529212,-0.22782438302174698,167.67031021967364,-60.72813013159319,0.3399976813641353,0.01,-2.75,1.05,,2.9452765,0.15,0.27
5878618052702217472,314.67560495409225,-0.1197335946404854,217.4583694569945,-60.728168644211195,0.7290095996960378,0.0,-0.98,0.96,,3.6497655,0.18,0.18
5931969827281489024,330.7660314493259,-3.804028120667901,246.47426955604524,-54.64050630086546,0.41049699524936356,0.08,-1.19,2.13,,3.7453985,0.2,0.2
5832553875646665600,322.5910600747604,-5.943971542301137,237.83229987832803,-61.74205793788582,0.23917499352327312,0.26,-2.53,3.32,,3.4557111,0.16,0.06
5334719612171085824,296.5211581577652,0.44888822339632256,179.21897115683748,-61.74185137414197,0.27223656110309224,-0.03,-3.29,1.64,,3.375514,0.18,0.2
5235357124290603776,294.3129828883785,-5.719113989399139,170.35402646145107,-67.07226423437139,0.2106283653218878,0.43,-4.31,1.95,,2.9713733,0.12,0.21
5336807099359437952,292.577090199458,-1.8464058822306753,169.68386446792704,-62.83941911850704,0.6068050265599093,0.05,-1.52,0.63,,3.4956677,0.1,0.0
5335816100140755072,294.45797679024827,0.9850844646759699,175.32227108165836,-60.727334094103846,0.2524933135426954,-0.06,-3.6,1.64,,3.674833,0.18,0.1
5833640085708503168,322.02355765125185,-4.218575788710834,234.70330480833812,-60.72702440707561,0.553956462744542,0.08,-1.11,1.42,,3.537102,0.19,0.04
5252962740670040448,286.1311189276969,-5.185833349370597,153.76554319158367,-62.83891591894499,0.567976795098551,0.15,-1.68,0.49,,3.4298418,0.19,0.02
5241129079314218496,290.6366582043204,-3.9512605758134987,163.85191766997772,-64.01758003767101,0.4013912138042338,0.16,-2.33,0.88,,2.8035848,0.17,0.3
5881484823148129536,320.18949027748636,2.878677176205402,224.56681430758434,-55.68481490470578,0.4615679454735266,-0.07,-1.39,1.66,,3.6666203,0.2,0.22
5337114348466519552,291.0748726667426,-1.2598283072387075,167.14614942168663,-61.74065892679979,0.40911582429694443,0.05,-2.28,0.88,,2.9808483,0.16,0.29
5234685150876923648,294.13514273030273,-8.229998010533627,167.44739463867225,-69.34707138339725,0.2509966088405961,0.52,-3.6,1.63,,,0.2,0.22
5307547140758129152,279.8938436417584,-2.208158722875378,147.41368955504367,-56.716769430071565,0.4413776320177904,0.09,-2.23,0.39,,3.6099205,0.19,0.28
5338188983660852096,289.1717970826523,-1.0026842357300036,163.75805403691248,-60.72614439188937,0.3759070287334993,0.04,-2.51,0.87,,,0.14,0.2
5867373514763283840,310.2352402812318,1.2884922579470388,207.92387303048847,-60.72596700047249,0.4883205147972802,-0.04,-1.56,1.32,,2.9603808,0.16,0.24
5338024842851798912,289.462574632651,-0.8646227771817775,164.41626401442844,-60.72595841921986,0.35974232601176964,0.04,-2.62,0.93,,3.83077,0.19,0.14
5256570277009780736,283.24668692442583,-4.665933565517321,149.49844727457133,-60.72587334941398,0.24944059737583793,0.32,-3.89,0.92,,,0.17,0.26
5338497053078078592,289.9778194865079,0.4102269700636667,166.41711551644448,-59.77450581414377,0.39427105057376793,-0.02,-2.38,0.87,,3.7142682,0.16,0.04
5250883499780411776,282.52963754735924,-6.562701139006458,145.85134608482787,-61.73975857951794,0.21848439982224116,0.51,-4.44,0.99,,3.3905373,0.1,0.01
5341603100360029824,294.98812841146275,3.143777316265385,177.42292830937905,-58.77237584351877,0.5605479886627773,-0.09,-1.61,0.75,,,0.15,0.25
5234872136574517120,296.1328169468732,-7.504693521377266,173.42479469663556,-69.34382148173027,0.7013909265013805,0.17,-1.27,0.63,,3.4306853,0.14,0.06
5223249744599474176,284.5938343633118,-15.442924198855543,133.58055256117345,-69.34312585818707,1.2304052260567615,0.21,-0.76,0.2,,,0.11,0.3
5866330907186712576,310.7836032298352,0.10524963675955203,209.62897211152867,-61.739666129465476,0.4168306421148529,0.0,-1.82,1.57,,3.7067847,0.18,0.09
5848452916835873408,312.9800871531274,-6.28139847459446,219.28893170434867,-67.0676849952618,0.8344168030039212,0.1,-0.87,0.82,,3.1125696,0.12,0.1
5254731824818408064,286.2260169896653,-2.6071684395453625,156.89791588080976,-60.7251119484156,0.19165292215314156,0.23,-5.0,1.46,,3.7324202,0.14,0.0
5300518821894372480,277.89522369886214,-6.868490161138769,138.72300506934764,-58.77150355323423,0.8369305998299842,0.14,-1.18,0.16,,3.8407335,0.2,0.09
5804385555925894144,319.34614425304034,-18.1239822850292,255.52041146869786,-72.40249538181581,0.6608732230730329,0.31,-0.94,1.15,-50.949362645026525,3.649201,0.2,0.28
5356212934156133632,280.09882783369767,0.5905765181157261,150.75717098967618,-54.637261210685644,1.5792859174964926,-0.01,-0.62,0.11,,3.4818213,0.17,0.08
5873921694991536000,315.2004423361026,-3.9355258565001616,221.79661289331364,-64.01491758554853,0.27831785269512765,0.17,-2.53,2.55,,3.8380516,0.2,0.09
5307484228076930176,276.4838345469773,-2.4357170222383933,142.6078177673017,-54.63674212947431,0.4331126543545645,0.1,-2.29,0.26,,3.4935155,0.15,0.02
5334601930067986560,296.25964713787715,-0.7302019783726519,178.11687577846794,-62.83551074562361,0.3250441445483842,0.04,-2.76,1.36,,,0.15,0.03
5864711257836604928,310.049685765356,-0.8371864299950879,208.60553289113838,-62.83527477879431,0.5214772431559265,0.02,-1.47,1.23,,3.4915357,0.2,0.1
5345862058648827264,290.7478177465495,4.007601305273198,170.30116361990505,-56.71439765373004,0.3765789608695983,-0.17,-2.48,0.94,,,0.15,0.12
5858199022296061184,303.68161165670926,-4.205050270990355,194.7784869254089,-67.06562608532491,0.3079180923371572,0.2,-2.7,1.8,,2.961138,0.19,0.28
6070886696130737024,296.9252387261689,2.5391427667429314,180.87446343468724,-59.77233683012923,0.8283257858904916,-0.05,-1.08,0.55,,,0.13,0.27
6054248336427646080,297.5662627874406,-1.6570220637290327,180.54157291885355,-64.01427471482882,0.3698900029930072,0.07,-2.4,1.25,,3.1348238,0.16,0.02
5865232838789026176,307.00036033814257,-0.2457975742430322,201.79924132121397,-62.834734222889765,0.5381116635256344,0.01,-1.48,1.12,,3.5183756,0.12,0.1
5254188528679487104,288.31466409774106,-1.4268252821506278,161.80267682969384,-60.72340527485591,0.5946868340865543,0.04,-1.6,0.53,,3.2506113,0.17,0.02
5333110030205351040,296.1095969494995,-1.9772953671246618,177.13887349406423,-64.01296307199222,0.3766993270185519,0.08,-2.38,1.17,,3.3996587,0.2,0.01
5299891413084357248,278.47169258851875,-7.720864375078923,138.2722961112826,-59.7717384918015,0.8621095353280962,0.15,-1.14,0.17,,3.3078132,0.16,0.21
5851990526842425088,309.47451156661197,-3.2939440884797317,208.6919606619515,-65.35808681541427,0.791760661176154,0.06,-0.97,0.8,,,0.18,0.18
5887682976352753408,321.141163698844,3.5589906494618715,225.46594653703426,-54.63512451821491,1.0893309668421356,-0.04,-0.57,0.71,,3.2026165,0.18,0.3
5343610606754102912,294.99980493809073,5.262818754726695,178.35934845890225,-56.7130270824708,0.9381807005299717,-0.09,-0.96,0.45,,3.5654016,0.19,0.08
5332971315606744320,297.12337528060215,-1.7444222949142656,179.51172851238582,-64.01240221305393,0.5825344201097671,0.05,-1.53,0.78,,,0.1,0.0
6058081680640485632,300.56912001971426,2.0603702276388396,188.02671187281243,-60.72266391773069,0.24431752648753446,-0.13,-3.52,2.08,,3.0764916,0.16,0.26
