source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,g_mag_abs_index,g_min_ks_index,j_ks_mag,m_ks
2937591986465297536,229.7223832775915,-17.23577165427281,94.28306302558465,-22.374440821639787,8.008827835899694,0.03,-0.09,-0.08,,,15.0,-1.0,-0.03,7.01
313645316845541376,128.2083810022242,-30.57654706715946,18.220876023879303,32.07539226661262,5.415194885183565,-0.07,0.12,-0.11,,,6.0,0.0,-0.04,6.95
4123408886202921472,7.794089438073846,7.800173453597365,263.6390615363926,-18.220871811916496,4.521992568294906,0.0,0.03,0.22,,5.906507,2.0,10.0,0.24,5.93
1306131410488171904,45.62276896702098,36.623041141070615,252.94331648504593,25.400150943184798,14.840115394687183,0.03,0.04,0.05,,1.5845951,28.0,7.0,0.15,6.21
5656066728733919104,247.80732477949337,16.159274109089825,135.15821006827554,-21.21570752043905,9.14805090760425,-0.03,-0.1,-0.04,41.162394282183016,2.651217,18.0,8.0,0.2,6.17
2164560992030815232,89.64292379772226,-1.753270796698943,319.5121929111149,46.857316194560084,3.3402497453542166,-0.01,0.3,0.0,,,-4.0,-3.0,-0.1,7.23
1801553998302086656,52.20987397443897,-13.220355159397675,303.71554850293927,10.472377075739795,6.081166045296624,-0.03,0.13,0.1,,,9.0,0.0,0.01,6.98
3327322369788392064,201.7963829662578,-1.575392228733806,96.3161943704031,9.165274580848658,2.7525370215481324,0.0,-0.13,-0.34,32.850597711218995,17.991293,-8.0,20.0,0.6,4.98
2155523281319746048,90.05757641747333,22.984840170537275,283.4362468601176,60.017861373356176,1.1598961219135822,0.34,0.79,0.0,,,-27.0,-1.0,0.06,7.02
5208848311237060480,292.096885514758,-22.907414518449336,123.75681743441365,-79.31853242369604,5.69150908584452,0.06,-0.15,0.07,,,7.0,-1.0,-0.03,7.02
5351333851314908800,286.00311906262084,1.7020027817371532,160.6750735019273,-56.87744208302746,0.5647392565639031,-0.05,-1.7,0.49,,,-43.0,-3.0,-0.05,7.21
5483687735273320960,267.379285386234,-23.068601942355553,102.06572540816677,-57.65561192127983,4.5525586981980615,0.09,-0.2,-0.01,22.055838049585315,12.0927305,2.0,22.0,0.73,4.76
524063839226112896,121.99874578165775,1.435117730710337,10.708563758526415,64.29127765842739,0.2787657835653863,0.08,3.04,-1.9,,166.11118,-58.0,17.0,0.33,5.27
4676821022834411904,273.4939126863312,-42.45848530840911,62.53095617243621,-61.599283668049054,24.587323160679436,0.03,-0.03,0.0,-6.774703466819975,1.2514169,39.0,12.0,0.36,5.77
6734956156974356224,0.1077414979925271,-10.625909067930424,277.40790684382165,-33.93405407436108,3.9337695936084707,0.0,0.0,0.25,,,-1.0,-1.0,-0.05,7.08
2272699472441515008,108.71076164947976,13.965125621908301,324.79349941010565,71.30850414064876,15.717260837232724,0.01,0.06,-0.02,-7.6970042558602705,1.7118354,29.0,9.0,0.24,6.02
4041857799496807936,355.9070775274872,-3.0610517077867043,266.9887235759942,-34.02131142981189,37.242315165713535,0.0,0.0,0.03,2.551680216298106,0.969931,48.0,14.0,0.39,5.53
6003604487219267456,327.49147983100465,12.550599700167265,227.00437600513908,-43.71263432844265,8.716579033151685,-0.01,-0.06,0.1,,,17.0,0.0,0.0,6.95
6895680361503377536,40.80927025884264,-36.86466024071145,319.2426635032084,-10.13510046700729,5.253676433404759,-0.07,0.1,0.14,,,6.0,2.0,0.05,6.77
3060787930730737920,220.8889271312311,8.436057522773952,114.00475787380363,-3.151290999558169,28.184217302411568,0.0,-0.02,-0.03,129.7477501935394,1.1261411,42.0,12.0,0.36,5.72
4035773548848665344,352.731129723734,-7.66945640025667,269.9919576853214,-39.06302223412181,3.3760174836564096,0.01,-0.04,0.29,-36.16350352158383,14.253898,-4.0,19.0,0.6,5.05
5672510200004560896,257.3992834687522,30.048479911306497,152.3147758492805,-18.1390574490388,6.29662109784813,-0.08,-0.13,-0.03,26.838764694012873,4.344628,10.0,9.0,0.24,6.02
4310743436761035008,42.75344092066794,1.962151850892138,285.60725311705255,9.633044984423092,2.929996376068892,0.01,0.23,0.25,8.211404401317896,20.797653,-7.0,24.0,0.67,4.59
5994194007714170496,340.8782795654249,7.5235262790438995,245.05132521851445,-39.50068522513614,5.505259437466591,-0.01,-0.06,0.17,,,7.0,1.0,0.01,6.82
5516271693651928064,263.3845989321942,-6.343117815085999,124.50471173277079,-47.091824470028605,2.3669470848995617,0.05,-0.42,-0.05,,,-12.0,-4.0,-0.12,7.39
5242727734820594816,288.6898999064495,-12.102891038422209,148.4480422933927,-69.8952163848703,4.954859071307354,0.04,-0.19,0.06,,,4.0,-2.0,-0.03,7.14
6039491481598054528,343.031865327962,16.256771345848446,239.4971982806812,-31.72904040120412,6.941907680719067,-0.01,-0.04,0.14,,,12.0,-1.0,-0.03,7.03
715396970031075584,187.35207901121643,41.75709925620436,136.38831278101435,36.180302735633255,8.487886136207798,-0.01,-0.01,-0.12,,2.414092,16.0,5.0,0.09,6.45
594989417312890368,219.11629005098644,26.203595429759766,128.96301895671778,6.622174731571054,38.65280554150744,-0.01,-0.01,-0.02,28.752526310348774,0.95889384,49.0,15.0,0.39,5.5
1433906859342483456,86.53597523719269,35.81523368703634,257.97756884621543,57.967853284455,14.36862665343515,0.04,0.06,0.0,,1.96268,27.0,10.0,0.23,5.95
3516356731020983296,296.39434814887665,43.020033523052554,187.79035341611942,-19.594182198649406,5.270465972115384,-0.12,-0.12,0.08,2.963844370585864,10.160646,6.0,21.0,0.66,4.82
1574113936415101568,130.41517513722346,61.60558959411849,186.63596952825634,55.15949374385088,7.825725100082503,0.09,0.05,-0.08,,,14.0,2.0,0.03,6.77
54819798632949632,168.7264438650358,-31.69565994382691,52.42746693204993,16.762252117460903,4.69975516453942,-0.02,0.04,-0.21,,,3.0,-2.0,-0.07,7.15
4869641071327166592,237.94210801058037,-46.74626987567587,63.12908683179368,-36.15244660034975,7.936844960971004,0.08,-0.07,-0.07,,3.321306,15.0,10.0,0.27,6.0
5061225955945475840,222.07797555738134,-58.59067992531408,48.34192290804291,-27.573816713186606,5.935750813343304,0.1,-0.06,-0.13,,,8.0,2.0,0.05,6.81
5324644031165449600,270.2245429832379,-3.3706995743394472,134.37020497479804,-50.74949754383236,0.42748487030778637,0.14,-2.34,0.01,,,-49.0,3.0,0.09,6.66
6063218255345408896,306.5700769283319,5.381538428751537,199.57504955724946,-57.300335541368156,1.2051546227121783,-0.06,-0.66,0.49,,,-26.0,4.0,0.05,6.57
4212736543656570752,33.15772657579984,-8.61684980725221,290.6415347409819,-3.718262097369221,3.0860805280222334,-0.03,0.18,0.27,,,-6.0,4.0,0.05,6.6
1398218223733415552,74.98871869273256,50.45640803684592,236.72353916353245,46.98628801519638,26.985732121796335,0.03,0.02,0.01,-21.9049600230554,1.3874089,41.0,15.0,0.39,5.5
4515002529331817984,52.16113331989754,1.4959291046162433,290.5161825202606,17.753343402544118,2.5894545798269277,0.01,0.3,0.24,,,-10.0,1.0,-0.02,6.86
2114238818720049664,70.10736685865695,26.73419579717437,270.62654201341763,43.26865997999867,3.91836434095714,0.11,0.21,0.09,-38.46813284027542,13.521282,-1.0,23.0,0.66,4.68
2281262709519065088,117.42297448713487,14.951006753697632,348.9185285050828,76.78729732569616,4.976984842025737,0.05,0.17,-0.09,-11.063270552768698,9.682358,4.0,19.0,0.54,5.08
3574907305749250432,282.546631131405,48.59416529257254,179.23107294964282,-12.107995129128193,17.699026090442526,-0.04,-0.04,0.01,-3.193618981575021,1.5810469,32.0,10.0,0.27,6.0
6737727510356921600,358.4791182569325,-23.642594181855145,291.9305961347718,-40.09771567395994,14.087339305043233,0.0,0.0,0.07,-18.456874406198686,2.153783,27.0,11.0,0.31,5.83
2514067563504805248,161.70349876101434,-53.29152180359812,34.869662512959465,2.8203736833228845,3.802262981055511,-0.07,0.05,-0.25,12.34702669398747,12.556457,-1.0,19.0,0.59,5.06
3476180782300571392,293.4143720200949,35.63330459995243,184.21536341558786,-26.59863148465594,4.840103501353282,-0.11,-0.15,0.08,23.765531755401895,10.295224,4.0,21.0,0.69,4.89
